trait,feature,accuracy
num_of_char,cEXT,0.47908232118758437
num_any_words,cEXT,0.47908232118758437
num_long_words,cEXT,0.5209176788124157
num_short_words,cEXT,0.47908232118758437
num_sentences,cEXT,0.5209176788124157
num_diff_word_stop,cEXT,0.5209176788124157
num_diff_word_nstop,cEXT,0.48043184885290147
avg_sentence_length,cEXT,0.5114709851551957
avg_word_length,cEXT,0.553306342780027
num_syllables,cEXT,0.48043184885290147
most_freq_word_length,cEXT,0.5209176788124157
most_freq_sentence_length,cEXT,0.5128205128205128
flesch_reading_ease,cEXT,0.4750337381916329
flesch_kincaid_grade_level,cEXT,0.5263157894736842
automated_readability_index,cEXT,0.5087719298245614
LIX_readability,cEXT,0.4750337381916329
dale_chall_readability,cEXT,0.5209176788124157
SMOG_readability,cEXT,0.524966261808367
type_token_ratio,cEXT,0.5209176788124157
hapax_legomena,cEXT,0.5209176788124157
num_diff_pos,cEXT,0.47908232118758437
num_pos_coord_conj,cEXT,0.5209176788124157
num_pos_num,cEXT,0.5209176788124157
num_pos_det,cEXT,0.5195681511470985
num_pos_sub_conj,cEXT,0.5209176788124157
num_pos_adj,cEXT,0.5209176788124157
num_pos_aux,cEXT,0.5209176788124157
num_pos_noun,cEXT,0.47908232118758437
num_pos_adv,cEXT,0.5209176788124157
num_pos_verb,cEXT,0.47908232118758437
num_of_char,cNEU,0.5155195681511471
num_any_words,cNEU,0.5155195681511471
num_long_words,cNEU,0.4844804318488529
num_short_words,cNEU,0.5168690958164642
num_sentences,cNEU,0.5101214574898786
num_diff_word_stop,cNEU,0.4844804318488529
num_diff_word_nstop,cNEU,0.5155195681511471
avg_sentence_length,cNEU,0.5168690958164642
avg_word_length,cNEU,0.5263157894736842
num_syllables,cNEU,0.4844804318488529
most_freq_word_length,cNEU,0.5182186234817814
most_freq_sentence_length,cNEU,0.4898785425101215
flesch_reading_ease,cNEU,0.48582995951417
flesch_kincaid_grade_level,cNEU,0.5141700404858299
automated_readability_index,cNEU,0.4844804318488529
LIX_readability,cNEU,0.5155195681511471
dale_chall_readability,cNEU,0.4844804318488529
SMOG_readability,cNEU,0.4709851551956815
type_token_ratio,cNEU,0.5371120107962213
hapax_legomena,cNEU,0.4844804318488529
num_diff_pos,cNEU,0.5155195681511471
num_pos_coord_conj,cNEU,0.4844804318488529
num_pos_num,cNEU,0.4885290148448043
num_pos_det,cNEU,0.4682860998650472
num_pos_sub_conj,cNEU,0.4844804318488529
num_pos_adj,cNEU,0.5168690958164642
num_pos_aux,cNEU,0.4844804318488529
num_pos_noun,cNEU,0.4844804318488529
num_pos_adv,cNEU,0.4844804318488529
num_pos_verb,cNEU,0.5168690958164642
num_of_char,cAGR,0.46288798920377866
num_any_words,cAGR,0.46558704453441296
num_long_words,cAGR,0.46558704453441296
num_short_words,cAGR,0.5371120107962213
num_sentences,cAGR,0.5371120107962213
num_diff_word_stop,cAGR,0.5371120107962213
num_diff_word_nstop,cAGR,0.46558704453441296
avg_sentence_length,cAGR,0.5371120107962213
avg_word_length,cAGR,0.5492577597840755
num_syllables,cAGR,0.5371120107962213
most_freq_word_length,cAGR,0.5371120107962213
most_freq_sentence_length,cAGR,0.47368421052631576
flesch_reading_ease,cAGR,0.46288798920377866
flesch_kincaid_grade_level,cAGR,0.46288798920377866
automated_readability_index,cAGR,0.5371120107962213
LIX_readability,cAGR,0.5371120107962213
dale_chall_readability,cAGR,0.5371120107962213
SMOG_readability,cAGR,0.5398110661268556
type_token_ratio,cAGR,0.5276653171390013
hapax_legomena,cAGR,0.5371120107962213
num_diff_pos,cAGR,0.5371120107962213
num_pos_coord_conj,cAGR,0.5398110661268556
num_pos_num,cAGR,0.5357624831309041
num_pos_det,cAGR,0.5371120107962213
